mode,batch_size,input_tokens,output_tokens,ttft_s,e2e_s,job_level_tps,otps,actual_qps,per_gpu_tps_mean,per_gpu_tps_stdev
HF_Static_FP16,8,8192,100,2.638400,5.822400,137.40,31.41,1.3740,137.40,0.43
HF_Static_FP16,16,8192,100,5.275367,8.518733,187.82,30.83,1.8782,187.82,0.60
HF_Static_FP16,32,8192,--,--,--,--,--,--,--,--
HF_Static_FP16,64,8192,--,--,--,--,--,--,--,--
HF_Static_FP16,96,--,--,--,--,--,--,--,--,--
HF_Static_FP16,128,--,--,--,--,--,--,--,--,--
HF_Static_FP16,192,--,--,--,--,--,--,--,--,--
HF_Static_FP16,256,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,8,8192,100,2.629067,6.163433,129.80,28.29,1.2980,129.80,0.17
HF_Dynamic_FP16,16,8192,100,5.162700,10.731467,149.09,17.96,1.4909,149.09,0.24
HF_Dynamic_FP16,32,8192,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,64,8192,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,96,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,128,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,192,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,256,--,--,--,--,--,--,--,--,--
HF_KIVI_INT4,8,8192,100,2.733367,10.010867,79.91,13.74,0.7991,79.91,0.03
HF_KIVI_INT4,16,8192,100,5.457867,18.498500,86.49,7.67,0.8649,86.49,0.03
HF_KIVI_INT4,32,8192,100,10.821433,35.270367,90.73,4.09,0.9073,90.73,0.08
HF_KIVI_INT4,64,8192,--,--,--,--,--,--,--,--
HF_KIVI_INT4,96,8192,--,--,--,--,--,--,--,--
HF_KIVI_INT4,128,--,--,--,--,--,--,--,--,--
HF_KIVI_INT4,192,--,--,--,--,--,--,--,--,--
HF_KIVI_INT4,256,--,--,--,--,--,--,--,--,--
Kitty-Pro,8,8192,100,2.660367,6.290433,127.18,27.55,1.2718,127.18,0.15
Kitty-Pro,16,8192,100,5.313333,9.088967,176.04,26.49,1.7604,176.05,1.41
Kitty-Pro,32,8192,--,--,--,--,--,--,--,--
Kitty-Pro,64,8192,--,--,--,--,--,--,--,--
Kitty-Pro,96,8192,--,--,--,--,--,--,--,--
Kitty-Pro,128,8192,--,--,--,--,--,--,--,--
Kitty-Pro,192,8192,--,--,--,--,--,--,--,--
Kitty-Pro,256,8192,--,--,--,--,--,--,--,--
SGLang BF16,8,--,--,--,--,--,--,--,--,--
SGLang BF16,16,--,--,--,--,--,--,--,--,--
SGLang BF16,32,--,--,--,--,--,--,--,--,--
SGLang BF16,64,--,--,--,--,--,--,--,--,--
SGLang BF16,96,--,--,--,--,--,--,--,--,--
SGLang BF16,128,--,--,--,--,--,--,--,--,--
SGLang BF16,192,--,--,--,--,--,--,--,--,--
SGLang BF16,256,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,8,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,16,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,32,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,64,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,96,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,128,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,192,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,256,--,--,--,--,--,--,--,--,--
